month,drug_id,therapy_area,formulary_tier,pharmacy_type,rx_count,total_cost,member_copay,plan_paid,unique_members
2022-01,DRG001,Immunology,4,Mail Order,5,32270.82,14521.86,17748.96,5
2022-01,DRG001,Immunology,4,Retail,1,6664.19,2998.89,3665.3,1
2022-01,DRG001,Immunology,4,Specialty,4,26027.34,11712.31,14315.03,4
2022-01,DRG002,Immunology,4,Mail Order,2,11178.78,5030.45,6148.33,2
2022-01,DRG002,Immunology,4,Retail,4,22658.85,10196.49,12462.36,4
2022-01,DRG003,Cardiology,1,Mail Order,1,24.45,2.45,22.0,1
2022-01,DRG003,Cardiology,1,Retail,7,185.75,18.57,167.18,7
2022-01,DRG004,Cardiology,2,Mail Order,1,17.67,3.53,14.14,1
2022-01,DRG004,Cardiology,2,Retail,3,145.96,29.19,116.77,3
2022-01,DRG004,Cardiology,2,Specialty,4,167.01,33.4,133.61,4
2022-01,DRG005,Diabetes,1,Mail Order,4,39.66,3.97,35.69,4
2022-01,DRG005,Diabetes,1,Retail,4,28.38,2.84,25.54,4
2022-01,DRG005,Diabetes,1,Specialty,4,31.27,3.13,28.14,4
2022-01,DRG006,Diabetes,3,Mail Order,1,166.15,49.84,116.31,1
2022-01,DRG006,Diabetes,3,Retail,2,251.39,75.42,175.97,2
2022-01,DRG006,Diabetes,3,Specialty,1,253.91,76.17,177.74,1
2022-01,DRG007,Diabetes,3,Mail Order,1,2467.47,740.24,1727.23,1
2022-01,DRG007,Diabetes,3,Retail,1,1717.55,515.26,1202.29,1
2022-01,DRG007,Diabetes,3,Specialty,2,5101.29,1530.39,3570.9,2
2022-01,DRG008,Oncology,5,Mail Order,1,21490.72,12894.43,8596.29,1
2022-01,DRG008,Oncology,5,Retail,2,44340.0,26604.0,17736.0,2
2022-01,DRG008,Oncology,5,Specialty,1,21166.0,12699.6,8466.4,1
2022-01,DRG009,Cardiology,2,Mail Order,2,604.05,120.81,483.24,2
2022-01,DRG009,Cardiology,2,Retail,1,150.72,30.14,120.58,1
2022-01,DRG010,Cardiology,2,Mail Order,5,970.22,194.04,776.18,5
2022-01,DRG010,Cardiology,2,Retail,3,691.47,138.3,553.17,3
2022-01,DRG011,Pulmonology,2,Retail,2,383.36,76.68,306.68,2
2022-01,DRG011,Pulmonology,2,Specialty,3,469.38,93.87,375.51,3
2022-01,DRG012,Pulmonology,2,Mail Order,3,821.27,164.25,657.02,3
2022-01,DRG012,Pulmonology,2,Retail,7,1234.86,246.96,987.9,7
2022-01,DRG012,Pulmonology,2,Specialty,2,358.02,71.61,286.41,2
2022-01,DRG013,Dermatology,4,Mail Order,2,35267.84,15870.52,19397.32,2
2022-01,DRG013,Dermatology,4,Retail,2,35809.13,16114.1,19695.03,2
2022-01,DRG013,Dermatology,4,Specialty,4,73695.34,33162.9,40532.44,4
2022-01,DRG014,Dermatology,4,Mail Order,6,19390.43,8725.69,10664.74,6
2022-01,DRG014,Dermatology,4,Retail,1,3312.35,1490.56,1821.79,1
2022-01,DRG014,Dermatology,4,Specialty,1,3239.98,1457.99,1781.99,1
2022-01,DRG015,Neurology,4,Retail,2,16327.47,7347.36,8980.11,2
2022-01,DRG015,Neurology,4,Specialty,2,15625.94,7031.67,8594.27,2
2022-01,DRG016,Cardiology,1,Mail Order,1,2.94,0.29,2.65,1
2022-01,DRG016,Cardiology,1,Retail,2,8.91,0.89,8.02,2
2022-01,DRG016,Cardiology,1,Specialty,1,6.04,0.6,5.44,1
2022-01,DRG017,Cardiology,1,Mail Order,1,4.02,0.4,3.62,1
2022-01,DRG017,Cardiology,1,Retail,1,11.52,1.15,10.37,1
2022-01,DRG017,Cardiology,1,Specialty,5,47.94,4.79,43.15,5
2022-01,DRG018,Gastroenterology,1,Mail Order,5,65.45,6.55,58.9,5
2022-01,DRG018,Gastroenterology,1,Retail,4,42.89,4.3,38.59,4
2022-01,DRG018,Gastroenterology,1,Specialty,1,18.0,1.8,16.2,1
2022-01,DRG019,Gastroenterology,2,Retail,1,45.85,9.17,36.68,1
2022-01,DRG019,Gastroenterology,2,Specialty,4,267.84,53.57,214.27,4
2022-01,DRG020,Oncology,5,Mail Order,4,75474.89,45284.94,30189.95,4
2022-01,DRG020,Oncology,5,Retail,2,38114.85,22868.91,15245.94,2
2022-01,DRG020,Oncology,5,Specialty,3,56702.96,34021.78,22681.18,3
2022-02,DRG001,Immunology,4,Mail Order,2,13585.06,6113.28,7471.78,2
2022-02,DRG001,Immunology,4,Retail,2,12659.16,5696.62,6962.54,2
2022-02,DRG001,Immunology,4,Specialty,5,32775.9,14749.15,18026.75,5
2022-02,DRG002,Immunology,4,Mail Order,1,5818.15,2618.17,3199.98,1
2022-02,DRG002,Immunology,4,Specialty,1,5869.57,2641.31,3228.26,1
2022-02,DRG003,Cardiology,1,Mail Order,2,37.44,3.74,33.7,2
2022-02,DRG003,Cardiology,1,Retail,3,47.13,4.71,42.42,3
2022-02,DRG003,Cardiology,1,Specialty,1,23.22,2.32,20.9,1
2022-02,DRG004,Cardiology,2,Mail Order,2,91.9,18.38,73.52,2
2022-02,DRG004,Cardiology,2,Retail,3,149.97,29.99,119.98,3
2022-02,DRG004,Cardiology,2,Specialty,4,157.7,31.55,126.15,4
2022-02,DRG005,Diabetes,1,Mail Order,3,27.13,2.71,24.42,3
2022-02,DRG005,Diabetes,1,Retail,3,27.36,2.74,24.62,3
2022-02,DRG005,Diabetes,1,Specialty,1,4.19,0.42,3.77,1
2022-02,DRG006,Diabetes,3,Mail Order,2,249.46,74.84,174.62,2
2022-02,DRG007,Diabetes,3,Mail Order,1,1637.96,491.39,1146.57,1
2022-02,DRG007,Diabetes,3,Specialty,3,5249.4,1574.82,3674.58,3
2022-02,DRG008,Oncology,5,Mail Order,4,89431.09,53658.66,35772.43,4
2022-02,DRG008,Oncology,5,Retail,3,67081.45,40248.87,26832.58,3
2022-02,DRG009,Cardiology,2,Mail Order,1,141.28,28.26,113.02,1
2022-02,DRG009,Cardiology,2,Specialty,2,584.61,116.92,467.69,2
2022-02,DRG010,Cardiology,2,Mail Order,3,579.78,115.96,463.82,3
2022-02,DRG010,Cardiology,2,Retail,2,680.34,136.07,544.27,2
2022-02,DRG010,Cardiology,2,Specialty,2,409.82,81.96,327.86,2
2022-02,DRG011,Pulmonology,2,Mail Order,2,385.94,77.19,308.75,2
2022-02,DRG011,Pulmonology,2,Retail,1,94.27,18.85,75.42,1
2022-02,DRG011,Pulmonology,2,Specialty,1,188.78,37.76,151.02,1
2022-02,DRG012,Pulmonology,2,Mail Order,1,278.95,55.79,223.16,1
2022-02,DRG012,Pulmonology,2,Retail,3,461.52,92.31,369.21,3
2022-02,DRG012,Pulmonology,2,Specialty,1,172.93,34.59,138.34,1
2022-02,DRG013,Dermatology,4,Mail Order,5,90005.87,40502.64,49503.23,5
2022-02,DRG013,Dermatology,4,Retail,4,73412.31,33035.55,40376.76,4
2022-02,DRG013,Dermatology,4,Specialty,1,18714.63,8421.58,10293.05,1
2022-02,DRG014,Dermatology,4,Mail Order,1,3264.47,1469.01,1795.46,1
2022-02,DRG014,Dermatology,4,Retail,6,19326.45,8696.9,10629.55,6
2022-02,DRG015,Neurology,4,Mail Order,1,8182.45,3682.1,4500.35,1
2022-02,DRG015,Neurology,4,Retail,3,24814.06,11166.33,13647.73,3
2022-02,DRG015,Neurology,4,Specialty,3,23610.33,10624.66,12985.67,3
2022-02,DRG016,Cardiology,1,Mail Order,3,23.44,2.35,21.09,3
2022-02,DRG016,Cardiology,1,Retail,3,18.17,1.82,16.35,3
2022-02,DRG016,Cardiology,1,Specialty,2,6.08,0.61,5.47,2
2022-02,DRG017,Cardiology,1,Mail Order,3,28.13,2.82,25.31,3
2022-02,DRG017,Cardiology,1,Retail,3,28.22,2.83,25.39,3
2022-02,DRG017,Cardiology,1,Specialty,2,12.51,1.25,11.26,2
2022-02,DRG018,Gastroenterology,1,Mail Order,1,18.24,1.82,16.42,1
2022-02,DRG018,Gastroenterology,1,Specialty,4,34.81,3.48,31.33,4
2022-02,DRG019,Gastroenterology,2,Mail Order,2,265.16,53.03,212.13,2
